treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
378,3.13,2,293815.125,6808786.625,4.703000444,3.280767864
379,2.52,2,294159.375,6808786.625,3.781875293,2.120488722
380,4.81,2,294309.125,6808786.625,7.003207327,8.208228023
381,17.26,2,294718.375,6808786.625,34.94106389,472.3373932
382,17.78,2,294820.375,6808786.625,37.35325812,543.754503
383,4.39,2,294871.875,6808786.625,6.439507108,6.692850479
384,10.31,2,294902.875,6808786.625,15.35571901,63.64124488
385,18.68,2,295188.375,6808786.625,42.10610128,692.7402677
386,21.87,2,294652.875,6808786.375,68.87584549,1617.059636
387,16.36,2,294747.375,6808786.375,31.23422134,369.4982059
388,19.66,2,294996.375,6808786.375,48.33794974,900.1115061
389,16.58,2,295030.375,6808786.375,32.09104046,392.4483533
390,24.91,2,295067.125,6808786.375,136.1515649,3604.917559
391,25.45,1,295069.375,6808786.375,53.50643436,1450.38287
392,19.73,2,295140.625,6808786.375,48.83446744,917.0506433
393,8.59,2,293715.125,6808786.125,12.42034474,36.23385557
394,5.24,3,293876.625,6808786.125,6.338840889,6.5216093
395,2.66,3,294005.625,6808786.125,3.113772098,1.31266672
396,3.04,3,294212.625,6808786.125,3.597191326,1.749560838
397,12.87,3,294913.625,6808786.125,23.8516552,195.481414
398,6.83,2,295145.125,6808786.125,9.775769857,19.2252522
399,5.63,2,294016.125,6808785.875,8.10876399,11.8512642
400,18.78,2,294727.125,6808785.875,42.68641246,711.5567202
401,14.88,2,294979.875,6808785.875,26.15419392,245.1923346
402,21.27,2,295116.625,6808785.875,62.09983754,1379.912985
403,17.7,2,294807.625,6808785.625,36.96766701,532.12665
404,19.4,2,294850.375,6808785.625,46.55840145,839.8334966
405,18.48,2,295019.625,6808785.625,40.97897412,656.5475442
406,16.95,2,294713.875,6808785.375,33.60206457,434.1530571
407,20.26,2,294735.625,6808785.375,52.85804418,1055.850738
408,11.79,2,294764.625,6808785.375,18.27363064,100.3219116
409,7.66,2,294882.125,6808785.375,10.98658144,26.15754362
410,3.7,3,293882.625,6808785.125,4.410260795,2.720906086
411,3.96,3,293963.875,6808785.125,4.72863098,3.192797364
412,6.48,3,294022.875,6808785.125,8.045874666,12.10650329
413,6.81,3,294278.375,6808785.125,8.536371663,14.16156175
414,15.12,2,294690.375,6808785.125,26.90595249,262.2148826
415,18.73,2,294743.875,6808785.125,42.39482595,702.0871773
416,24.69,1,294942.375,6808785.125,49.10517877,1233.789138
417,7.19,3,294954.625,6808785.125,9.124310655,16.9105763
418,18.06,2,295002.125,6808785.125,38.74745877,586.4173774
419,5.71,2,294246.625,6808784.875,8.217637653,12.26127435
420,15.96,2,294669.625,6808784.875,29.74962365,331.0116875
421,4.12,2,293971.125,6808784.625,6.075629181,5.827690318
422,5.14,2,294018.625,6808784.625,7.446432776,9.557948637
